title,author,description,genres,ratings,number of ratings,number of reviews,5 star,4 star,3 star,2 star,1 star
Rebecca,Daphne du Maurier,"""Last night I dreamt I went to Manderley again...""Ancient, beautiful Manderley, between the rose garden and the sea, is the county's showpiece. Rebecca made it so - even a year after her death, Rebecca's influence still rules there. How can Maxim de Winter's shy new bride ever fill her place or escape her vital shadow?A shadow that grows longer and darker as the brief summer fades, until, in a moment of climatic revelations, it threatens to eclipse Manderley and its inhabitants completely...","['Fiction', 'Mystery', 'Gothic', 'Romance', 'Classics', 'Historical Fiction', 'Thriller', 'Horror', 'Mystery Thriller', 'Audiobook']",4.24,"612,464 ratings","38,626 reviews","291,826","209,909","84,556","18,763","7,410"
Persuasion,Jane Austen,"Persuasion is Jane Austen's last completed novel. She began it soon after she had finished Emma, completing it in August 1816. She died, aged 41, in 1817; Persuasion was published in December that year (but dated 1818). Persuasion is linked to Northanger Abbey not only by the fact that the two books were originally bound up in one volume and published together, but also because both stories are set partly in Bath, a fashionable city with which Austen was well acquainted, having lived there from 1801 to 1805. Besides the theme of persuasion, the novel evokes other topics, such as the Royal Navy, in which two of Jane Austen's brothers ultimately rose to the rank of admiral. As in Northanger Abbey, the superficial social life of Bath-well known to Austen, who spent several relatively unhappy and unproductive years there-is portrayed extensively and serves as a setting for the second half of the book. In many respects Persuasion marks a break with Austen's previous works, both in the more biting, even irritable satire directed at some of the novel's characters and in the regretful, resigned outlook of its otherwise admirable heroine, Anne Elliot, in the first part of the story. Against this is set the energy and appeal of the Royal Navy, which symbolises for Anne and the reader the possibility of a more outgoing, engaged, and fulfilling life, and it is this worldview which triumphs for the most part at the end of the novel.","['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Historical', 'Literature', 'Audiobook', '19th Century', 'Historical Romance', 'Classic Literature']",4.15,"682,624 ratings","31,428 reviews","302,602","227,353","115,833","25,462","11,374"
Bridge to Terabithia,Katherine Paterson,"The 40th anniversary edition of the classic Newbery Medal-winning title by beloved author Katherine Paterson, with brand-new bonus materials including an author's note by Katherine herself and a foreword by New York Times bestselling author Kate DiCamillo.Jess Aarons has been practicing all summer so he can be the fastest runner in the fifth grade. And he almost is, until the new girl in school, Leslie Burke, outpaces him. The two become fast friends and spend most days in the woods behind Leslie's house, where they invent an enchanted land called Terabithia. One morning, Leslie goes to Terabithia without Jess and a tragedy occurs. It will take the love of his family and the strength that Leslie has given him for Jess to be able to deal with his grief.was also named an ALA Notable Children’s Book and has become a touchstone of children’s literature, as have many of Katherine Paterson’s other novels, including and .","['Fiction', 'Young Adult', 'Classics', 'Fantasy', 'Childrens', 'Middle Grade', 'Realistic Fiction', 'School', 'Contemporary', 'Banned Books']",4.04,"535,313 ratings","15,949 reviews","215,320","178,874","101,254","27,436","12,429"
A Game of Thrones,George R.R. Martin,"Long ago, in a time forgotten, a preternatural event threw the seasons out of balance. In a land where summers can last decades and winters a lifetime, trouble is brewing. The cold is returning, and in the frozen wastes to the north of Winterfell, sinister forces are massing beyond the kingdom’s protective Wall. To the south, the king’s powers are failing—his most trusted adviser dead under mysterious circumstances and his enemies emerging from the shadows of the throne. At the center of the conflict lie the Starks of Winterfell, a family as harsh and unyielding as the frozen land they were born to. Now Lord Eddard Stark is reluctantly summoned to serve as the king’s new Hand, an appointment that threatens to sunder not only his family but the kingdom itself.Sweeping from a harsh land of cold to a summertime kingdom of epicurean plenty, tells a tale of lords and ladies, soldiers and sorcerers, assassins and bastards, who come together in a time of grim omens. Here an enigmatic band of warriors bear swords of no human metal; a tribe of fierce wildlings carry men off into madness; a cruel young dragon prince barters his sister to win back his throne; a child is lost in the twilight between life and death; and a determined woman undertakes a treacherous journey to protect all she holds dear. Amid plots and counter-plots, tragedy and betrayal, victory and terror, allies and enemies, the fate of the Starks hangs perilously in the balance, as each side endeavors to win that deadliest of conflicts: the game of thrones.","['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Adult', 'Science Fiction Fantasy', 'Adventure', 'Audiobook', 'Dragons', 'Novels']",4.44,"2,434,783 ratings","62,423 reviews","1,493,985","655,642","192,843","51,619","40,694"
Perfume: The Story of a Murderer,Patrick Süskind,"An acclaimed bestseller and international sensation, Patrick Suskind's classic novel provokes a terrifying examination of what happens when one man's indulgence in his greatest passion—his sense of smell—leads to murder.In the slums of eighteenth-century France, the infant Jean-Baptiste Grenouille is born with one sublime gift—an absolute sense of smell. As a boy, he lives to decipher the odors of Paris, and apprentices himself to a prominent perfumer who teaches him the ancient art of mixing precious oils and herbs. But Grenouille's genius is such that he is not satisfied to stop there, and he becomes obsessed with capturing the smells of objects such as brass doorknobs and fresh-cut wood. Then one day he catches a hint of a scent that will drive him on an ever-more-terrifying quest to create the ""ultimate perfume""—the scent of a beautiful young virgin. Told with dazzling narrative brilliance, is a hauntingly powerful tale of murder and sensual depravity.","['Fiction', 'Classics', 'Historical Fiction', 'Horror', 'Mystery', 'Thriller', 'Crime', 'Historical', 'German Literature', 'Novels']",4.03,"452,821 ratings","23,666 reviews","176,765","160,669","80,278","24,648","10,461"
The Secret Garden,Frances Hodgson Burnett,"In a house full of sadness and secrets, can young, orphaned Mary find happiness?Mary Lennox, a spoiled, ill-tempered, and unhealthy child, comes to live with her reclusive uncle in Misselthwaite Manor on England’s Yorkshire moors after the death of her parents. There she meets a hearty housekeeper and her spirited brother, a dour gardener, a cheerful robin, and her wilful, hysterical, and sickly cousin, Master Colin, whose wails she hears echoing through the house at night.With the help of the robin, Mary finds the door to a secret garden, neglected and hidden for years. When she decides to restore the garden in secret, the story becomes a charming journey into the places of the heart, where faith restores health, flowers refresh the spirit, and the magic of the garden, coming to life anew, brings health to Colin and happiness to Mary.","['Classics', 'Fiction', 'Childrens', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Fantasy', 'Audiobook', 'Historical', 'Literature']",4.15,"1,138,183 ratings","27,417 reviews","499,825","385,866","195,648","41,054","15,790"
The Asset,Saul Herzog,"Montana, USAWhen Lance Spector quit the CIA, he swore he was out for good. One more government lie and he would go off the deep end. They could find someone else to do their dirty work. As far as he was concerned, Washington, Langley, the Pentagon could all go to hell.Yekaterinburg, RussiaA secret Russian expedition returns with a devastating new pathogen, harvested from the frozen corpses of mammoths. It's the biological super weapon they've been looking for, an apocalypse-level pathogen, a virus more deadly than anything ever to come out of a Russian lab. Something that will stop NATO and the Americans in their tracks.A Biological Chernobyl.Washington DC, USAA mysterious vial, sealed in a titanium case, arrives at CIA headquarters. They have no idea who sent it, but it comes with a note.""I will only speak to Lance Spector.""",[],4.29,"9,458 ratings",326 reviews,"4,703","3,279","1,106",248,122
Catching Fire,Suzanne Collins,"Sparks are igniting.Flames are spreading.And the Capitol wants revenge.Against all odds, Katniss Everdeen has won the Hunger Games. She and fellow District 12 tribute Peeta Mellark are miraculously still alive. Katniss should be relieved, happy even. After all, she has returned to her family and her longtime friend, Gale. Yet nothing is the way Katniss wishes it to be. Gale holds her at an icy distance. Peeta has turned his back on her completely. And there are whispers of a rebellion against the Capitol—a rebellion that Katniss and Peeta may have helped create.Much to her shock, Katniss has fueled an unrest that she's afraid she cannot stop. And what scares her even more is that she's not entirely convinced she should try. As time draws near for Katniss and Peeta to visit the districts on the Capitol's cruel Victory Tour, the stakes are higher than ever. If they can't prove, without a shadow of a doubt, that they are lost in their love for each other, the consequences will be horrifying.In , the second novel of the Hunger Games trilogy, Suzanne Collins continues the story of Katniss Everdeen, testing her more than ever before . . . and surprising readers at every turn.","['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Teen', 'Audiobook', 'Post Apocalyptic', 'Action']",4.32,"3,429,693 ratings","119,593 reviews","1,753,147","1,145,220","429,126","79,334","22,866"
Scavenger Hunt,Chad Boudreaux,"WHEN JUSTICE IS BLIND, SCAVENGERS DO THE HUNTINGBlake Hudson just wants to serve his country well as a lawyer for the United States Justice Department—but when an unknown threat begins plotting his downfall, he must find who is setting him up before it costs him his life.Scavenger Hunt is a suspense novel chronicling the plight of Blake Hudson, a Justice Department lawyer assigned to a clandestine counterterrorist group created to bypass onerous legal requirements. After the group mysteriously disbands, Hudson becomes the scapegoat and is transformed from hunter to hunted. As he searches for answers and attempts to piece the puzzle together, people are following him, trying to kill him.Written for fans of fast-paced thrillers, dry humor, political gamesmanship, and Clue-like twists and turns, Scavenger Hunt carves out a distinct niche best described as a hybrid of the Robert Ludlum classics and works by Brad Meltzer. Blake Hudson’s story addresses issues that have shaped recent elections and continue to frustrate interest groups and government leaders, while featuring the inner workings of the U.S. Department of Justice Building—arguably the most important and misunderstood agency in the federal government. Author Chad Boudreaux’s unique voice and page-turning storytelling packs a plot-driven punch that readers won’t be able to put down.",[],4.31,"6,196 ratings",36 reviews,"2,882","2,763",243,188,120
How It Unfolds,James S.A. Corey,"An astronaut’s interstellar mission is a personal journey of a thousand second chances in an exhilarating short story by James S. A. Corey, the New York Times bestselling author of The Expanse series.Roy Court and his crew are taking the trip of a lifetime—several lifetimes in fact—duplicated and dispatched across the galaxies searching for Earthlike planets. Many possibilities for the future. Yet for Roy, no matter how many of him there are, there’s still just one painful, unchangeable past. In what world can a broken relationship be reborn? The universe is so vast, there’s always room for hope.James S. A. Corey’s How It Unfolds is part of The Far Reaches, a collection of science-fiction stories that stretch the imagination and open the heart. They can be read or listened to in one sitting.","['Science Fiction', 'Short Stories', 'Fiction', 'Audiobook', 'Space', 'Novella', 'Science Fiction Fantasy', 'Space Opera', 'Speculative Fiction', 'Fantasy']",4.02,"6,924 ratings",432 reviews,"2,357","2,736","1,483",283,65
The Handmaid’s Tale,Margaret Atwood,"Offred is a Handmaid in the Republic of Gilead. She may leave the home of the Commander and his wife once a day to walk to food markets whose signs are now pictures instead of words because women are no longer allowed to read. She must lie on her back once a month and pray that the Commander makes her pregnant, because in an age of declining births, Offred and the other Handmaids are valued only if their ovaries are viable. Offred can remember the years before, when she lived and made love with her husband, Luke; when she played with and protected her daughter; when she had a job, money of her own, and access to knowledge. But all of that is gone now…Funny, unexpected, horrifying, and altogether convincing, is at once scathing satire, dire warning, and tour de force.","['Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Feminism', 'Fantasy', 'Adult', 'Audiobook', 'Literature', 'Novels']",4.13,"1,980,401 ratings","93,720 reviews","853,135","700,289","303,565","83,139","40,273"
Invisible Monsters,Chuck Palahniuk,"She's a catwalk model who has everything: a boyfriend, a career, a loyal best friend. But when a sudden motor 'accident' leaves her disfigured and incapable of speech, she goes from being the beautiful centre of attention to being an invisible monster, so hideous that no one will acknowledge she exists.Enter Brandy Alexander, Queen Supreme, one operation away from being a real woman, who will teach her that reinventing yourself means erasing your past and making up something better, and that salvation hides in the last place you'll ever want to look.The narrator must exact revenge upon Evie, her best friend and fellow model; kidnap Manus, her two-timing ex-boyfriend; and hit the road with Brandy in search of a brand-new past, present and future.","['Fiction', 'Contemporary', 'Thriller', 'Horror', 'Novels', 'Humor', 'Mystery', 'Adult', 'Dark', 'Adult Fiction']",4.00,"141,506 ratings","6,906 reviews","52,200","50,009","28,479","8,115","2,703"
The Nowhere Man,Gregg Andrew Hurwitz,"He was once called Orphan X.As a boy, Evan Smoak was taken from a children's home, raised and trained as part of a secret government initiative buried so deep that virtually no one knows it exists. But he broke with the programme, choosing instead to vanish off grid and use his formidable skill set to help those unable to protect themselves.Ambushed, drugged, and spirited away, Evan wakes up in a locked room with no idea where he is or who has captured him. As he tries to piece together what's happened, testing his gilded prison and its highly trained guards for weaknesses, he receives a desperate call for help.With time running out, he will need to out-think, out-manoeuvre, and out-fight an opponent the likes of whom he's never encountered to have any chance of escape. He's got to save himself to protect those whose lives depend on him. Or die trying . . .","['Thriller', 'Fiction', 'Mystery', 'Action', 'Suspense', 'Crime', 'Mystery Thriller', 'Audiobook', 'Adventure', 'Contemporary']",4.14,"25,659 ratings","2,202 reviews","9,769","10,784","4,228",701,177
The Virgins of Venice,Gina Buonaguro,"In sixteenth-century Venice, one young noblewoman dares to resist the choices made for herVenice in 1509 is on the brink of war. The displeasure of Pope Julius II is a continuing threat to the republic, as is the barely contained fighting in the countryside. Amid this turmoil, noblewoman Justina Soranzo, just sixteen, hopes to make a rare love marriage with her sweetheart, Luca Cicogna. Her hopes are dashed when her father decides her younger sister, Rosa, will marry in a strategic alliance and Justina will be sent to the San Zaccaria convent, in the tradition of aristocratic daughters. Lord Soranzo is not acting only to protect his family. It’s well known that he is in debt to both his trading partners and the most infamous courtesan in the city, La Diamante, and the pressure is closing in.After arriving at the convent, Justina takes solace in her aunt Livia, one of the nuns, and in the growing knowledge that all is not strictly devout at San Zaccaria. Justina is shocked to discover how the women of the convent find their own freedom in what seems to her like a prison. But secrets and scandals breach the convent walls, and Justina learns there may be even worse fates for her than the veil, if La Diamante makes good on her threats.Desperate to protect herself and the ones she loves, Justina turns to Luca for help. She finds she must trust her own heart to make the impossible decisions that may save or ruin them all.","['Historical Fiction', 'Fiction', 'Historical', 'Italy', 'Epic', 'Contemporary', 'Drama', 'Romance', 'Italian Literature', 'Medieval']",4.28,"6,201 ratings",68 reviews,"2,835","2,667",348,277,74
The Lightning Thief,Rick Riordan,"Alternate cover for this ISBN can be found herePercy Jackson is a good kid, but he can't seem to focus on his schoolwork or control his temper. And lately, being away at boarding school is only getting worse - Percy could have sworn his pre-algebra teacher turned into a monster and tried to kill him. When Percy's mom finds out, she knows it's time that he knew the truth about where he came from, and that he go to the one place he'll be safe. She sends Percy to Camp Half Blood, a summer camp for demigods (on Long Island), where he learns that the father he never knew is Poseidon, God of the Sea. Soon a mystery unfolds and together with his friends—one a satyr and the other the demigod daughter of Athena - Percy sets out on a quest across the United States to reach the gates of the Underworld (located in a recording studio in Hollywood) and prevent a catastrophic war between the gods.","['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology', 'Childrens', 'Urban Fantasy', 'Audiobook']",4.30,"2,851,661 ratings","92,938 reviews","1,489,376","870,686","380,032","78,525","33,042"
Gone Girl,Gillian Flynn,"This is an alternate cover edition for ISBN 9780307588371Who are you?What have we done to each other?These are the questions Nick Dunne finds himself asking on the morning of his fifth wedding anniversary when his wife Amy suddenly disappears. The police suspect Nick. Amy's friends reveal that she was afraid of him, that she kept secrets from him. He swears it isn't true. A police examination of his computer shows strange searches. He says they weren't made by him. And then there are the persistent calls on his mobile phone.So what did happen to Nick's beautiful wife?","['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Crime', 'Suspense', 'Contemporary', 'Adult', 'Audiobook', 'Adult Fiction']",4.13,"2,994,051 ratings","151,817 reviews","1,285,852","1,064,903","449,919","123,679","69,698"
Winnie-the-Pooh,A.A. Milne,"The adventures of Christopher Robin and his friends in which Pooh Bear uses a balloon to get honey, Piglet meets a Heffalump, and Eeyore has a birthday.","['Childrens', 'Fiction', 'Classics', 'Fantasy', 'Animals', 'Middle Grade', 'Audiobook', 'Picture Books', 'Young Adult', 'Juvenile']",4.35,"321,961 ratings","6,862 reviews","184,834","85,201","38,342","8,528","5,056"
Pericles and Aspasia: A Story of Ancient Greece,Yvonne Korshak,"STEP ASIDE, ANTONY AND PERICLES AND ASPASIA —THE LOVE STORY THAT SHAPED HISTORYTwo lovers crest the wave of the golden age of Pericles, statesman and general, and Aspasia, his courtesan, a philosopher's daughter, and a brilliant woman in her own right. In a world of hierarchies, he is at the top when she arrives as little more than flotsam cast up on Athenian shores. Their love transcends social sanctions, enduring and deepening despite the grave threat it presents to Pericles' reputation as a leader of the Athenian democracy.The novel unfolds against the background of the arts and history of the Golden Age, seen through the eyes of two individuals who lent their particular brilliance to make it ""golden"": Pericles, the great orator and visionary of democracy, and its most influential woman, Aspasia. Their story takes them from the Agora-Athens' marketplace to the Acropolis, from the raunchy Athenian Port Piraeus mercantile across the Aegean Sea to East Greece. Pericles and Aspasia—together and apart—navigate treacherous paths from venal calculations to impassioned philosophical inquiry, from high-stakes sea battles to the passions of family life.Pericles and Aspasia engages issues that are vital today—the paradoxes of democracy, the tensions of hierarchy, the ironies of gender, and others—but this novel is immersed in classical the city, its sunshine, its physical presence, its people, and their struggles and aspirations.",[],4.33,"3,955 ratings",31 reviews,"1,858","1,769",153,123,52
Night Owl,Andrew Mayne,"A shocking act of sabotage draws a retired spy into a deadly conspiracy in an explosive thriller by an Amazon Charts and Wall Street Journal bestselling author.After three decades in counterintelligence, Brad Trasker is retired, disillusioned, and dealing with a tragic loss. Spy games are behind him until he attends the launch of a next-generation aircraft. When the project of innovative aerospace CEO Kylie Connor explodes on the tarmac―nearly killing her in the process―Trasker is pulled back into the line of fire.The mystery of the sabotage quickly deepens. All Kylie’s data has been wiped from the server. One of her engineers has disappeared. A seed investor has died in a suspicious car accident. And a cold-blooded murder raises the stakes even higher.To discover who’s pulling the strings behind a dangerous conspiracy, Trasker needs to find a motive. Corporate espionage, revenge, or something he can’t yet see? Targeted by assassins, he finds himself overmatched when he realizes he can’t trust anyone―including Kylie. Too long out of a game he no longer understands, Trasker must adapt or die.","['Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Suspense', 'Espionage', 'Crime', 'Audiobook', 'Conspiracy Theories', 'Spy Thriller']",4.19,"5,575 ratings",251 reviews,"2,490","1,959",893,189,44
Black Fire,William Kely McClung,"Major Tommy Black is at the crossroads of a brilliant, clandestine career. Lost... without purpose or mission. His life in sealed records and whispered stories of his violent exploits. Devastated and blaming himself when a member of his covert task force commits suicide, but when the man’s daughter is kidnapped, Black, the man with “a talent for violence,” sacrifices all for the nearly impossible chance to save the girl... and maybe his soul.For fans of Robert Ludlum and Lee Child, BLACK FIRE is a “tour de force of explosive action” that takes the reader on an epic, breathtaking adventure from the exotic Indian Ocean island of Mauritius to the remote interior of South Africa and across Europe into the towering mountains of Central Asia, and introduces a riveting new hero to cheer along with Reacher and Bourne — Tommy Black.",[],4.31,"4,815 ratings",33 reviews,"2,249","2,092",243,162,69
The Grapes of Wrath,John Steinbeck,"The Pulitzer Prize-winning epic of the Great Depression, a book that galvanized—and sometimes outraged—millions of readers.First published in 1939, Steinbeck’s Pulitzer Prize-winning epic of the Great Depression chronicles the Dust Bowl migration of the 1930s and tells the story of one Oklahoma farm family, the Joads—driven from their homestead and forced to travel west to the promised land of California. Out of their trials and their repeated collisions against the hard realities of an America divided into Haves and Have-Nots evolves a drama that is intensely human yet majestic in its scale and moral vision, elemental yet plainspoken, tragic but ultimately stirring in its human dignity. A portrait of the conflict between the powerful and the powerless, of one man’s fierce reaction to injustice, and of one woman’s stoical strength, the novel captures the horrors of the Great Depression and probes into the very nature of equality and justice in America. At once a naturalistic epic, captivity narrative, road novel, and transcendental gospel, Steinbeck’s powerful landmark novel is perhaps the most American of American Classics.","['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Novels', 'School', 'American', 'Historical', 'Classic Literature', 'High School']",4.00,"889,336 ratings","23,244 reviews","373,445","271,679","152,353","57,763","34,096"
